Platform,Title,Publisher
Nintendo Switch,Animal Crossing: New Horizons,Nintendo
Nintendo Switch,Assassin's Creed III Remastered,Ubisoft Entertainment
Nintendo Switch,Assassin's Creed: The Rebel Collection,Ubisoft Entertainment
Nintendo Switch,Astral Chain,Nintendo
Nintendo Switch,Axiom Verge,Badland Games
Nintendo Switch,Batman: The Telltale Series,Telltale Games
Nintendo Switch,Bayonetta 2,Nintendo
Nintendo Switch,Borderlands: Legendary Collection,2K Games
Nintendo Switch,Captain Toad: Treasure Tracker,Nintendo
Nintendo Switch,Catherine: Full Body,Atlus
Nintendo Switch,Cooking Mama: Cookstar,Ravenscourt
Nintendo Switch,Crash Bandicoot N. Sane Trilogy,Activision
Nintendo Switch,Diablo III: Eternal Collection,Missing Field
Nintendo Switch,Doom,Bethesda
Nintendo Switch,Dragon Quest Builders 2,Square Enix
Nintendo Switch,Final Fantasy I-VI Pixel Remaster Collection [Anniversary Edition],Square Enix
Nintendo Switch,Flashback 25th Anniversary Collector's Edition,Anuman Interactive
Nintendo Switch,Ghostbusters: The Video Game Remastered,"Mad Dog Games, LLC"
Nintendo Switch,God Eater 3,Bandai Namco Entertainment
Nintendo Switch,Hogwarts Legacy,Warner Bros. Interactive Entertainment
Nintendo Switch,Hollow Knight,Fangamer
Nintendo Switch,Hyrule Warriors: Age of Calamity,Nintendo
Nintendo Switch,Killer Queen Black,Missing Field
Nintendo Switch,Kirby and the Forgotten Land,Nintendo
Nintendo Switch,L.A. Noire,Rockstar Games
Nintendo Switch,LEGO DC Super-Villains [Deluxe Edition],Warner Bros. Interactive Entertainment
Nintendo Switch,Lego Harry Potter Collection,Warner Bros. Interactive Entertainment
Nintendo Switch,Little Dragons Cafe,Missing Field
Nintendo Switch,Lost Sphear,Square Enix
Nintendo Switch,Luigi's Mansion 2 HD,Nintendo
Nintendo Switch,Mario + Rabbids: Kingdom Battle,Ubisoft
Nintendo Switch,Mario Kart 8 Deluxe,Nintendo
Nintendo Switch,Marvel Ultimate Alliance 3: The Black Order,Nintendo
Nintendo Switch,Minecraft,Microsoft Game Studios
Nintendo Switch,My Time at Portia,Team17 Software Limited
Nintendo Switch,Octopath Traveler [Traveler's Compendium Edition],Square Enix
Nintendo Switch,Overwatch [Legendary Edition],Missing Field
Nintendo Switch,Paper Mario: The Thousand-Year Door,Nintendo
Nintendo Switch,Persona 3 Portable,"Sega, Limited Run Games"
Nintendo Switch,Persona 4 Golden,Limited Run Games
Nintendo Switch,Persona 5 Royal,Sega Europe
Nintendo Switch,Pikmin 4,Nintendo
Nintendo Switch,Pokémon Mystery Dungeon: Rescue Team DX,Nintendo
Nintendo Switch,Pokémon Sword,Nintendo
Nintendo Switch,"Pokémon: Let's Go, Eevee!",Nintendo
Nintendo Switch,Rayman Legends: Definitive Edition,Ubisoft Entertainment
Nintendo Switch,Rime,Grey Box
Nintendo Switch,Rune Factory 4 Special,XSEED Games
Nintendo Switch,Rune Factory 4 Special [Archival Edition],XSEED Games
Nintendo Switch,Saints Row: The Third - The Full Package,Deep Silver
Nintendo Switch,Shantae: Half-Genie Hero [Ultimate Edition],"Marvelous, XSEED Games"
Nintendo Switch,Shin Megami Tensei V: Vengeance,"Atlus Co., Ltd."
Nintendo Switch,Sid Meier's Civilization VI,2K Games
Nintendo Switch,Snack World: The Dungeon Crawl Gold,Missing Field
Nintendo Switch,South Park: The Fractured But Whole,Ubisoft
Nintendo Switch,Spyro Reignited Trilogy,Activision
Nintendo Switch,Stardew Valley,Fangamer
Nintendo Switch,Story Of Seasons: Friends Of Mineral Town,Marvelous
Nintendo Switch,Super Mario 3D All-Stars,Nintendo
Nintendo Switch,Super Mario Odyssey,Nintendo
Nintendo Switch,Super Monkey Ball: Banana Blitz HD,Sega
Nintendo Switch,Super Monkey Ball: Banana Rumble,Sega
