Species,Form,Nickname,Origin Game,Method,Setup,Event,Encounters,Odds,Caught Date,Ball,Nature,Gender,Ability,Mark / Ribbon,Location,Image,Notes
Bulbasaur,,,Let's Go Eevee,Catch Combo,,,89,1/273,2026-06-16,Premier Ball,Adamant,Male,,,Viridian Forest,,a baby!
Weedle,,,Let's Go Eevee,Random Encounter,,,1,1/1365,2026-06-15,Great Ball,Bold,Male,,,Viridian Forest,,appeared before even starting my chain.
Pikachu,,,Let's Go Eevee,Catch Combo,,,10,1/512,2026-06-15,Ultra Ball,Sassy,Male,,,Viridian Forest,,broke my 10 bulbasaur chain ;;
Ponyta,,,Let's Go Eevee,Catch Combo,,,80,1/273,2026-06-23,Premier Ball,Hardy,Female,,,Route 17,,blue
Greninja,,,X,Soft Reset,,,,1/4096,2023-10-22,Poké Ball,Serious,Male,,,Aquacorde Town,,first starter hunt ever
Ekans,,,Scarlet,Random Encounter,,,,1/1365,2024-08-07,Quick Ball,Quiet,Female,,,Mossfell Confluence,,
Oricorio,Sensu,,Scarlet,Random Encounter,,,,1/1365,2024-08-06,Repeat Ball,Relaxed,Female,,Rowdy Mark,Wistful Fields,,
Tatsugiri,Curly,,Scarlet,Mass Outbreak,,,,1/819,2024-08-02,Ultra Ball,Naughty,Female,,,South Province (Area Four),,
Slakoth,,,Scarlet,Random Encounter,,,,1/1365,2024-08-09,Quick Ball,Serious,Male,,,Coastal Biome,,
Tatsugiri,Stretchy,,Scarlet,Mass Outbreak,,,,1/819,2024-08-07,Timer Ball,Serious,Male,,,Canyon Biome,,
Litleo,,,Scarlet,Random Encounter,,,,1/1365,2024-08-09,Quick Ball,Adamant,Female,,,Savanna Biome,,
Bulbasaur,,,Scarlet,Sandwich,,,,1/512,2025-07-22,Quick Ball,Brave,Male,,Flustered Mark,Coastal Biome,,
Dugtrio,,,Scarlet,Random Encounter,,,,1/1365,2024-10-27,Quick Ball,Modest,Male,,,Area Zero,,i like running around the maps with no sandwich
Golduck,,,Scarlet,Random Encounter,,,,1/1365,2024-10-25,Quick Ball,Sassy,Female,,,Area Zero,,
Geodude,,,Pokémon Legends: Arceus,Random Encounter,,,,1/4096,2025-01-30,Great Ball,Lax,Female,,,Obsidian Fieldlands,,
Seel,,,Scarlet,Random Encounter,,,,1/1365,2024-10-25,Quick Ball,Adamant,Male,,,Polar Biome,,
Exeggutor,Alolan,,Scarlet,Random Encounter,,,,1/1365,2024-10-24,Quick Ball,Calm,Female,,,Coastal Biome,,
Gligar,,,Scarlet,Random Encounter,,,,1/1365,2020-01-24,Quick Ball,Calm,Female,,,Paradise Barrens,,acnh time travel messed up dates ;;
Porygon2,,,Scarlet,Mass Outbreak,,,,1/819,2025-06-12,Timer Ball,Timid,Genderless,,,East Province (Area One),,
Shroomish,,,Scarlet,Mass Outbreak,,,,1/819,2024-08-12,Quick Ball,Bold,Male,,,West Province (Area Three),,
Rayquaza,,,Scarlet,Tera Raid,,Shiny Rayquaza Tera Raid event,1,1/10,2024-12-29,Moon Ball,Naughty,Genderless,,,A crystal cavern,,tera raids
Kricketune,,,Scarlet,Random Encounter,,,,1/1365,2020-01-20,Dusk Ball,Adamant,Male,,,North Province (Area Two),,acnh strikes again
Buizel,,,Scarlet,Random Encounter,,,,1/1365,2020-01-25,Quick Ball,Brave,Male,,,East Province (Area One),,
