Species,Form,List,Note,Sort
Hypno,,pink,,1
Clefairy,,pink,,2
Heracross,,pink,,3
Mareep,,pink,,4
Ampharos,,pink,,5
Jumpluff,,pink,,6
Sneasel,,pink,,7
Dratini,,pink,,8
Dragonair,,pink,,9
Buneary,,pink,,10
Lopunny,,pink,,11
Bulbasaur,,cute,a baby!,1
Clefairy,,cute,,2
Eevee,,cute,,3
Lapras,,cute,,4
Mareep,,cute,,5
Buneary,,cute,,6
Dratini,,cute,,7
Riolu,,cute,,8
Popplio,,cute,,9
Swablu,,cute,,10
Emolga,,cute,,11
Espurr,,cute,,12
Gengar,,goth,,1
Misdreavus,,goth,,2
Mismagius,,goth,,3
Froslass,,goth,,4
Litwick,,goth,,5
Chandelure,,goth,,6
Hatterene,,goth,,7
Mimikyu,,goth,,8
Phantump,,goth,,9
Pumpkaboo,,goth,,10
Gourgeist,,goth,,11
Gothitelle,,goth,,12
Doublade,,goth,,13
Aegislash,,goth,,14
Poliwag,,frog,,1
Poliwhirl,,frog,,2
Poliwrath,,frog,,3
Politoed,,frog,,4
Croagunk,,frog,,5
Toxicroak,,frog,,6
Tympole,,frog,,7
Palpitoad,,frog,,8
Seismitoad,,frog,,9
Froakie,,frog,,10
Frogadier,,frog,,11
Greninja,,frog,first starter hunt ever,12
Tadbulb,,frog,,13
Bellibolt,,frog,,14
